09100	09101	00030	K00117
09100	09101	00010	K00121
09100	09102	00680	K00121
09100	09103	00071	K00121
09100	09105	00350	K00121
09100	09108	00830	K00121
09100	09111	00625	K00121
09100	09111	00626	K00121
09100	09111	00980	K00121
09100	09111	00982	K00121
09160	09161	05204	K00121
09100	09101	00630	K00122
09100	09102	00680	K00122
09100	09101	00630	K00123
09100	09102	00680	K00123
09100	09101	00630	K00124
09100	09102	00680	K00124
09100	09102	00680	K00125
09100	09101	00630	K00126
09100	09102	00680	K00126
09100	09101	00630	K00127
09100	09102	00680	K00127
09100	09101	00010	K00128
09100	09101	00053	K00128
09100	09101	00620	K00128
09100	09103	00071	K00128
09100	09103	00561	K00128
09100	09105	00280	K00128
09100	09105	00310	K00128
09100	09105	00330	K00128
09100	09105	00340	K00128
09100	09105	00380	K00128
09100	09106	00410	K00128
09100	09109	00903	K00128
09100	09109	00981	K00128
09100	09111	00625	K00128
09100	09101	00010	K00129
09100	09105	00340	K00129
09100	09105	00350	K00129
09100	09105	00360	K00129
09100	09106	00410	K00129
09100	09111	00980	K00129
09100	09111	00982	K00129
09160	09161	05204	K00129
09100	09105	00260	K00130
09100	09101	00010	K00131
09100	09101	00030	K00131
09100	09101	00620	K00132
09100	09101	00650	K00132
09100	09105	00260	K00133
09100	09105	00270	K00133
09100	09105	00300	K00133
09100	09110	00261	K00133
09100	09101	00010	K00134
09100	09102	00710	K00134
09130	09132	04066	K00134
09160	09164	05010	K00134
09160	09171	05130	K00134
09100	09101	00650	K00135
09100	09105	00250	K00135
09100	09105	00310	K00135
09100	09105	00350	K00135
09100	09108	00760	K00135
09100	09105	00310	K00137
09100	09105	00330	K00137
09100	09106	00410	K00137
09100	09101	00010	K00138
09100	09101	00620	K00138
09100	09101	00650	K00139
09100	09105	00250	K00139
09100	09101	00562	K00140
09100	09101	00640	K00140
09100	09105	00280	K00140
09100	09106	00410	K00140
09100	09111	00622	K00141
09100	09111	00623	K00141
09100	09111	00627	K00141
09100	09105	00300	K00143
09100	09105	00220	K00145
09100	09105	00360	K00146
09100	09111	00643	K00146
09100	09105	00330	K00147
09100	09110	00332	K00147
09100	09102	00680	K00148
09100	09111	00625	K00148
09100	09101	00010	K00149
09100	09101	00053	K00149
09100	09101	00620	K00149
09100	09103	00071	K00149
09100	09103	00561	K00149
09100	09105	00280	K00149
09100	09105	00310	K00149
09100	09105	00330	K00149
09100	09105	00340	K00149
09100	09105	00380	K00149
09100	09106	00410	K00149
09100	09101	00010	K00150
09100	09102	00710	K00150
09100	09105	00350	K00151
09100	09111	00626	K00152
09100	09101	00620	K00156
09100	09105	00280	K00157
09100	09105	00350	K00157
09100	09105	00380	K00157
09100	09108	00750	K00157
09100	09108	00760	K00157
09100	09108	00830	K00157
09100	09111	00982	K00157
09130	09132	04630	K00157
09100	09101	00620	K00158
09100	09101	00010	K00161
09100	09101	00020	K00161
09100	09101	00620	K00161
09130	09132	04066	K00161
09150	09152	04922	K00161
09160	09161	05230	K00161
09100	09101	00010	K00162
09100	09101	00020	K00162
09100	09101	00620	K00162
09130	09132	04066	K00162
09150	09152	04922	K00162
09160	09161	05230	K00162
09100	09101	00010	K00163
09100	09101	00020	K00163
09100	09101	00620	K00163
09100	09101	00020	K00164
09100	09101	00640	K00166
09100	09105	00280	K00166
09100	09101	00640	K00167
09100	09105	00280	K00167
09100	09101	00010	K00169
09100	09101	00020	K00169
09100	09101	00620	K00169
09100	09101	00640	K00169
09100	09101	00650	K00169
09100	09102	00680	K00169
09100	09102	00720	K00169
09100	09111	00633	K00169
09100	09101	00010	K00170
09100	09101	00020	K00170
09100	09101	00620	K00170
09100	09101	00640	K00170
09100	09101	00650	K00170
09100	09102	00680	K00170
09100	09102	00720	K00170
09100	09111	00633	K00170
09100	09101	00010	K00171
09100	09101	00020	K00171
09100	09101	00620	K00171
09100	09101	00640	K00171
09100	09101	00650	K00171
09100	09102	00680	K00171
09100	09102	00720	K00171
09100	09111	00633	K00171
09100	09101	00010	K00172
09100	09101	00020	K00172
09100	09101	00620	K00172
09100	09101	00640	K00172
09100	09101	00650	K00172
09100	09102	00680	K00172
09100	09102	00720	K00172
09100	09111	00633	K00172
09100	09101	00010	K00174
09100	09101	00020	K00174
09100	09101	00620	K00174
09100	09101	00650	K00174
09100	09102	00720	K00174
09100	09101	00010	K00175
09100	09101	00020	K00175
09100	09101	00620	K00175
09100	09101	00650	K00175
09100	09102	00720	K00175
09100	09101	00020	K00176
09100	09102	00720	K00176
09100	09101	00020	K00177
09100	09102	00720	K00177
09130	09132	04310	K00181
09130	09132	04150	K00182
09130	09132	04310	K00182
09130	09132	04390	K00182
09140	09144	04550	K00182
09150	09152	04916	K00182
09160	09161	05200	K00182
09160	09161	05205	K00182
09160	09162	05217	K00182
09160	09162	05224	K00182
09160	09162	05225	K00182
09160	09162	05226	K00182
09160	09167	04934	K00182
09160	09172	05165	K00182
09100	09105	00280	K00186
09100	09105	00280	K00187
09100	09105	00280	K00188
09100	09105	00280	K00189
09100	09102	00680	K00192
09100	09102	00680	K00193
09100	09102	00680	K00194
09100	09102	00720	K00194
09100	09102	00680	K00195
09100	09102	00680	K00196
09100	09102	00720	K00196
09100	09111	00633	K00196
09100	09102	00680	K00197
09100	09102	00720	K00197
09100	09102	00680	K00198
09100	09102	00720	K00198
09100	09111	00633	K00198
09100	09102	00680	K00200
09100	09102	00680	K00201
09100	09102	00680	K00202
09100	09102	00680	K00203
09100	09102	00680	K00204
09100	09102	00680	K00205
09100	09106	00440	K00206
09100	09104	00240	K00207
09100	09106	00410	K00207
09100	09108	00770	K00207
09100	09111	00983	K00207
09100	09103	00061	K00208
09100	09108	00780	K00208
09100	09110	00333	K00208
09100	09101	00650	K00209
09100	09103	00061	K00209
09100	09105	00400	K00210
09100	09110	00401	K00210
09100	09105	00400	K00211
09100	09103	00140	K00212
09100	09111	00980	K00212
09100	09103	00100	K00213
09100	09108	00860	K00214
09100	09105	00300	K00215
09100	09110	00261	K00215
09100	09109	01053	K00216
09100	09111	00361	K00217
09100	09111	00362	K00217
09100	09111	00364	K00217
09100	09111	00623	K00217
09100	09108	00860	K00218
09100	09105	00400	K00220
09100	09110	00401	K00220
09100	09103	00100	K00222
09100	09103	00100	K00223
09100	09103	00592	K00224
09100	09101	00053	K00225
09100	09104	00240	K00226
09100	09103	00100	K00227
09100	09108	00860	K00228
09100	09108	00860	K00230
09100	09108	00860	K00231
09100	09101	00640	K00232
09100	09103	00071	K00232
09100	09103	00592	K00232
09100	09103	01040	K00232
09100	09106	00410	K00232
09130	09132	04024	K00232
09140	09141	04146	K00232
09150	09152	03320	K00232
09100	09101	00020	K00234
09100	09102	00190	K00234
09150	09159	04714	K00234
09160	09164	05010	K00234
09160	09164	05012	K00234
09160	09164	05016	K00234
09160	09167	04932	K00234
09100	09101	00020	K00235
09100	09102	00190	K00235
09150	09159	04714	K00235
09160	09164	05010	K00235
09160	09164	05012	K00235
09160	09164	05016	K00235
09160	09167	04932	K00235
09100	09101	00020	K00236
09100	09102	00190	K00236
09150	09159	04714	K00236
09160	09164	05010	K00236
